DOI / Referência,Tipo de Resíduo,Origem / País,"Processamento (triturado, moído, fibra etc,)",Equação de Resilient Modulus,ID da Amostra,LL (%),PL (%),IP (%),Finos (%), MDD (kN/m³),OMC (%),CBR (%),Expansão (%),AASHTO,Tensão de Confinamento (mPa),Tensão Desviadora (mPa),Número de Ciclos de Carga,K1,K2,K3,R²,MR (mPa),Deformação Permanente (μℰ),Deformação Permanente Final (μℰ),DP (%),"Aplicação sugerida (subleito, sub-base, base)",Observações
10.34910/MCE.115.8,EAF,Indonésia,Triturado,"SMix=1140,587⋅Sbit+65,286⋅VIM+0,798⋅RAP+0,555⋅slag−122,603",CS1 (45 °C),-,-,-,-,"G_graúdo: 2,727<br>G_miúdo: 2,661",-,-,-,-,,,-,-,-,-,"0,825","293,5",-,-,-,Base e Revestimento (AC-BC),Ligante Pen 60/70; G calculado (90% Nat + 10% EAF)
10.34910/MCE.115.9,EAF,Indonésia,Triturado,"SMix=1140,587⋅Sbit+65,286⋅VIM+0,798⋅RAP+0,555⋅slag−122,603",CS2 (35 °C),-,-,-,-,"G_graúdo: 2,811<br>G_miúdo: 2,708",-,-,-,-,,,-,-,-,-,"0,825","1057,5",-,-,-,Base e Revestimento (AC-BC),Ligante Pen 60/70; G calculado (80% Nat + 20% EAF)
10.34910/MCE.115.10,EAF,Indonésia,Triturado,"SMix=1140,587⋅Sbit+65,286⋅VIM+0,798⋅RAP+0,555⋅slag−122,603",CS2 (45 °C),-,-,-,-,"G_graúdo: 2,811<br>G_miúdo: 2,708",-,-,-,-,,,-,-,-,-,"0,825",294,-,-,-,Base e Revestimento (AC-BC),Ligante Pen 60/70; G calculado (80% Nat + 20% EAF)
10.34910/MCE.115.11,EAF,Indonésia,Triturado,"SMix=1140,587⋅Sbit+65,286⋅VIM+0,798⋅RAP+0,555⋅slag−122,603",CS3 (35 °C),-,-,-,-,"G_graúdo: 2,896<br>G_miúdo: 2,756",-,-,-,-,,,-,-,-,-,"0,825",843,-,-,-,Base e Revestimento (AC-BC),Ligante Pen 60/70; G calculado (70% Nat + 30% EAF)
10.34910/MCE.115.12,EAF,Indonésia,Triturado,"SMix=1140,587⋅Sbit+65,286⋅VIM+0,798⋅RAP+0,555⋅slag−122,603",CS3 (45 °C),-,-,-,-,"G_graúdo: 2,896<br>G_miúdo: 2,756",-,-,-,-,,,-,-,-,-,"0,825","293,5",-,-,-,Base e Revestimento (AC-BC),Ligante Pen 60/70; G calculado (70% Nat + 30% EAF)
10.34910/MCE.115.13,RAP,Indonésia,Fresa,"SMix=1140,587⋅Sbit+65,286⋅VIM+0,798⋅RAP+0,555⋅slag−122,603",CR1 (35 °C),-,-,-,-,"G_graúdo: 2,627<br>G_miúdo: 2,597",-,-,-,-,,,-,-,-,-,"0,825","738,5",-,-,-,Base e Revestimento (AC-BC),Reclamite (23%); G calculado (90% Nat + 10% RAP)
10.34910/MCE.115.14,RAP,Indonésia,Fresa,"SMix=1140,587⋅Sbit+65,286⋅VIM+0,798⋅RAP+0,555⋅slag−122,603",CR1 (45 °C),-,-,-,-,"G_graúdo: 2,627<br>G_miúdo: 2,597",-,-,-,-,,,-,-,-,-,"0,825","275,5",-,-,-,Base e Revestimento (AC-BC),Reclamite (23%); G calculado (90% Nat + 10% RAP)
10.34910/MCE.115.15,RAP,Indonésia,Fresa,"SMix=1140,587⋅Sbit+65,286⋅VIM+0,798⋅RAP+0,555⋅slag−122,603",CR2 (35 °C),-,-,-,-,"G_graúdo: 2,613<br>G_miúdo: 2,580",-,-,-,-,,,-,-,-,-,"0,825","1027,5",-,-,-,Base e Revestimento (AC-BC),Reclamite (23%); G calculado (80% Nat + 20% RAP)
10.34910/MCE.115.16,RAP,Indonésia,Fresa,"SMix=1140,587⋅Sbit+65,286⋅VIM+0,798⋅RAP+0,555⋅slag−122,603",CR2 (45 °C),-,-,-,-,"G_graúdo: 2,613<br>G_miúdo: 2,580",-,-,-,-,,,-,-,-,-,"0,825",363,-,-,-,Base e Revestimento (AC-BC),Reclamite (23%); G calculado (80% Nat + 20% RAP)
10.34910/MCE.115.17,RAP,Indonésia,Fresa,"SMix=1140,587⋅Sbit+65,286⋅VIM+0,798⋅RAP+0,555⋅slag−122,603",CR3 (35 °C),-,-,-,-,"G_graúdo: 2,598<br>G_miúdo: 2,562",-,-,-,-,,,-,-,-,-,"0,825",1231,-,-,-,Base e Revestimento (AC-BC),Reclamite (23%); G calculado (70% Nat + 30% RAP)
10.34910/MCE.115.18,RAP,Indonésia,Fresa,"SMix=1140,587⋅Sbit+65,286⋅VIM+0,798⋅RAP+0,555⋅slag−122,603",CR3 (45 °C),-,-,-,-,"G_graúdo: 2,598<br>G_miúdo: 2,562",-,-,-,-,,,-,-,-,-,"0,825","452,5",-,-,-,Base e Revestimento (AC-BC),Reclamite (23%); G calculado (70% Nat + 30% RAP)
10.34910/MCE.115.19,RAP,Indonésia,Fresa e Triturado,"SMix=1140,587⋅Sbit+65,286⋅VIM+0,798⋅RAP+0,555⋅slag−122,603",CR1S1 (35 °C),-,-,-,-,"G_graúdo: 2,712<br>G_miúdo: 2,644",-,-,-,-,,,-,-,-,-,"0,825","729,5",-,-,-,Base e Revestimento (AC-BC),Reclamite (23%); Blend: 80%N/10%R/10%S
10.34910/MCE.115.20,RAP,Indonésia,Fresa e Triturado,"SMix=1140,587⋅Sbit+65,286⋅VIM+0,798⋅RAP+0,555⋅slag−122,603",CR1S1 (45 °C),-,-,-,-,"G_graúdo: 2,712<br>G_miúdo: 2,644",-,-,-,-,,,-,-,-,-,"0,825",261,-,-,-,Base e Revestimento (AC-BC),Reclamite (23%); Blend: 80%N/10%R/10%S
10.34910/MCE.115.21,RAP,Indonésia,Fresa e Triturado,"SMix=1140,587⋅Sbit+65,286⋅VIM+0,798⋅RAP+0,555⋅slag−122,603",CR1S2 (35 °C),-,-,-,-,"G_graúdo: 2,797<br>G_miúdo: 2,691",-,-,-,-,,,-,-,-,-,"0,825",775,-,-,-,Base e Revestimento (AC-BC),Reclamite (23%); Blend: 70%N/10%R/20%S
10.34910/MCE.115.22,RAP,Indonésia,Fresa e Triturado,"SMix=1140,587⋅Sbit+65,286⋅VIM+0,798⋅RAP+0,555⋅slag−122,603",CR1S2 (45 °C),-,-,-,-,"G_graúdo: 2,797<br>G_miúdo: 2,691",-,-,-,-,,,-,-,-,-,"0,825","289,5",-,-,-,Base e Revestimento (AC-BC),Reclamite (23%); Blend: 70%N/10%R/20%S
10.34910/MCE.115.23,RAP,Indonésia,Fresa e Triturado,"SMix=1140,587⋅Sbit+65,286⋅VIM+0,798⋅RAP+0,555⋅slag−122,603",CR1S3 (35 °C),-,-,-,-,"G_graúdo: 2,881<br>G_miúdo: 2,738",-,-,-,-,,,-,-,-,-,"0,825","781,5",-,-,-,Base e Revestimento (AC-BC),Reclamite (23%); Blend: 60%N/10%R/30%S
10.34910/MCE.115.24,RAP,Indonésia,Fresa e Triturado,"SMix=1140,587⋅Sbit+65,286⋅VIM+0,798⋅RAP+0,555⋅slag−122,603",CR1S3 (45 °C),-,-,-,-,"G_graúdo: 2,881<br>G_miúdo: 2,738",-,-,-,-,,,-,-,-,-,"0,825","316,5",-,-,-,Base e Revestimento (AC-BC),Reclamite (23%); Blend: 60%N/10%R/30%S
10.34910/MCE.115.25,RAP,Indonésia,Fresa e Triturado,"SMix=1140,587⋅Sbit+65,286⋅VIM+0,798⋅RAP+0,555⋅slag−122,603",CR2S1 (35 °C),-,-,-,-,"G_graúdo: 2,698<br>G_miúdo: 2,627",-,-,-,-,,,-,-,-,-,"0,825",838,-,-,-,Base e Revestimento (AC-BC),Reclamite (23%); Blend: 70%N/20%R/10%S
10.34910/MCE.115.26,RAP,Indonésia,Fresa e Triturado,"SMix=1140,587⋅Sbit+65,286⋅VIM+0,798⋅RAP+0,555⋅slag−122,603",CR2S1 (45 °C),-,-,-,-,"G_graúdo: 2,698<br>G_miúdo: 2,627",-,-,-,-,,,-,-,-,-,"0,825",357,-,-,-,Base e Revestimento (AC-BC),Reclamite (23%); Blend: 70%N/20%R/10%S
10.34910/MCE.115.27,RAP,Indonésia,Fresa e Triturado,"SMix=1140,587⋅Sbit+65,286⋅VIM+0,798⋅RAP+0,555⋅slag−122,603",CR2S2 (35 °C),-,-,-,-,"G_graúdo: 2,782<br>G_miúdo: 2,674",-,-,-,-,,,-,-,-,-,"0,825","901,5",-,-,-,Base e Revestimento (AC-BC),Reclamite (23%); Blend: 60%N/20%R/20%S
10.34910/MCE.115.28,RAP,Indonésia,Fresa e Triturado,"SMix=1140,587⋅Sbit+65,286⋅VIM+0,798⋅RAP+0,555⋅slag−122,603",CR2S2 (45 °C),-,-,-,-,"G_graúdo: 2,782<br>G_miúdo: 2,674",-,-,-,-,,,-,-,-,-,"0,825","289,5",-,-,-,Base e Revestimento (AC-BC),Reclamite (23%); Blend: 60%N/20%R/20%S
10.34910/MCE.115.29,RAP,Indonésia,Fresa e Triturado,"SMix=1140,587⋅Sbit+65,286⋅VIM+0,798⋅RAP+0,555⋅slag−122,603",CR2S3 (35 °C),-,-,-,-,"G_graúdo: 2,867<br>G_miúdo: 2,721",-,-,-,-,,,-,-,-,-,"0,825","852,5",-,-,-,Base e Revestimento (AC-BC),Reclamite (23%); Blend: 50%N/20%R/30%S
10.34910/MCE.115.30,RAP,Indonésia,Fresa e Triturado,"SMix=1140,587⋅Sbit+65,286⋅VIM+0,798⋅RAP+0,555⋅slag−122,603",CR2S3 (45 °C),-,-,-,-,"G_graúdo: 2,867<br>G_miúdo: 2,721",-,-,-,-,,,-,-,-,-,"0,825",274,-,-,-,Base e Revestimento (AC-BC),Reclamite (23%); Blend: 50%N/20%R/30%S
10.34910/MCE.115.31,RAP,Indonésia,Fresa e Triturado,"SMix=1140,587⋅Sbit+65,286⋅VIM+0,798⋅RAP+0,555⋅slag−122,603",CR3S1 (35 °C),-,-,-,-,"G_graúdo: 2,683<br>G_miúdo: 2,610",-,-,-,-,,,-,-,-,-,"0,825","1081,5",-,-,-,Base e Revestimento (AC-BC),Reclamite (23%); Blend: 60%N/30%R/10%S
10.34910/MCE.115.32,RAP,Indonésia,Fresa e Triturado,"SMix=1140,587⋅Sbit+65,286⋅VIM+0,798⋅RAP+0,555⋅slag−122,603",CR3S1 (45 °C),-,-,-,-,"G_graúdo: 2,683<br>G_miúdo: 2,610",-,-,-,-,,,-,-,-,-,"0,825","364,5",-,-,-,Base e Revestimento (AC-BC),Reclamite (23%); Blend: 60%N/30%R/10%S
10.34910/MCE.115.33,RAP,Indonésia,Fresa e Triturado,"SMix=1140,587⋅Sbit+65,286⋅VIM+0,798⋅RAP+0,555⋅slag−122,603",CR3S2 (35 °C),-,-,-,-,"G_graúdo: 2,768<br>G_miúdo: 2,657",-,-,-,-,,,-,-,-,-,"0,825",778,-,-,-,Base e Revestimento (AC-BC),Reclamite (23%); Blend: 50%N/30%R/20%S
10.34910/MCE.115.34,RAP,Indonésia,Fresa e Triturado,"SMix=1140,587⋅Sbit+65,286⋅VIM+0,798⋅RAP+0,555⋅slag−122,603",CR3S2 (45 °C),-,-,-,-,"G_graúdo: 2,768<br>G_miúdo: 2,657",-,-,-,-,,,-,-,-,-,"0,825","329,5",-,-,-,Base e Revestimento (AC-BC),Reclamite (23%); Blend: 50%N/30%R/20%S
10.34910/MCE.115.35,RAP,Indonésia,Fresa e Triturado,"SMix=1140,587⋅Sbit+65,286⋅VIM+0,798⋅RAP+0,555⋅slag−122,603",CR3S3 (35 °C),-,-,-,-,"G_graúdo: 2,852<br>G_miúdo: 2,704",-,-,-,-,,,-,-,-,-,"0,825","857,5",-,-,-,Base e Revestimento (AC-BC),Reclamite (23%); Blend: 40%N/30%R/30%S
10.34910/MCE.115.36,RAP,Indonésia,Fresa e Triturado,"SMix=1140,587⋅Sbit+65,286⋅VIM+0,798⋅RAP+0,555⋅slag−122,603",CR3S3 (45 °C),-,-,-,-,"G_graúdo: 2,852<br>G_miúdo: 2,704",-,-,-,-,,,-,-,-,-,"0,825","341,5",-,-,-,Base e Revestimento (AC-BC),Reclamite (23%); Blend: 40%N/30%R/30%S
10.1061/(ASCE)MT.1943-5533.0001619,EAF,Índia,Triturado e Pó,Mr/Pa = k1 * (σ3/Pa)^k2 * (σd/Pa)^k3,95S-5F-5D,-,-,-,"7,19",46164,10,-,-,-,"0,0345","0,0931",10,913,123,557,992,"80,5",-,"489,3","0,0489",Base de pavimentos flexíveis,Cura: 28 dias
10.1061/(ASCE)MT.1943-5533.0001620,EAF,Índia,Triturado e Pó,Mr/Pa = k1 * (σ3/Pa)^k2 * (σd/Pa)^k3,95S-5F-10D,-,-,-,"7,86",46075,46152,-,-,-,"0,0345","0,0931",10,1010,107,550,992,"88,3",-,"385,7","0,0385",Base de pavimentos flexíveis,Cura: 28 dias
10.1061/(ASCE)MT.1943-5533.0001621,EAF,Índia,Triturado e Pó,Mr/Pa = k1 * (σ3/Pa)^k2 * (σd/Pa)^k3,95S-5F-15D,-,-,-,"8,48",46255,46064,-,-,-,"0,0345","0,0931",10,1100,125,479,992,"95,1",-,"299,9","0,0299",Base de pavimentos flexíveis,Cura: 28 dias
10.1061/(ASCE)MT.1943-5533.0001622,EAF,Índia,Triturado e Pó,Mr/Pa = k1 * (σ3/Pa)^k2 * (σd/Pa)^k3,95S-5F-20D,-,-,-,46121,46163,46245,-,-,-,"0,0345","0,0931",10,1146,114,460,992,"101,8",-,"172,3","0,0172",Base de pavimentos flexíveis,Cura: 28 dias
10.1061/(ASCE)MT.1943-5533.0001623,EAF,Índia,Triturado e Pó,Mr/Pa = k1 * (σ3/Pa)^k2 * (σd/Pa)^k3,85S-15F-5D,-,-,-,"15,67",46254,46153,-,-,-,"0,0345","0,0931",10,1036,150,539,992,"92,4",-,"252,4","0,0252",Base de pavimentos flexíveis,Cura: 28 dias
10.1061/(ASCE)MT.1943-5533.0001624,EAF,Índia,Triturado e Pó,Mr/Pa = k1 * (σ3/Pa)^k2 * (σd/Pa)^k3,85S-15F-10D,-,-,-,"15,95",46132,12,-,-,-,"0,0345","0,0931",10,1117,132,528,992,"99,8",-,"239,2","0,0239",Base de pavimentos flexíveis,Cura: 28 dias
10.1061/(ASCE)MT.1943-5533.0001625,EAF,Índia,Triturado e Pó,Mr/Pa = k1 * (σ3/Pa)^k2 * (σd/Pa)^k3,85S-15F-15D,-,-,-,"16,22",46042,46185,-,-,-,"0,0345","0,0931",10,1206,134,495,992,"107,5",-,"192,6","0,0192",Base de pavimentos flexíveis,Cura: 28 dias
10.1061/(ASCE)MT.1943-5533.0001626,EAF,Índia,Triturado e Pó,Mr/Pa = k1 * (σ3/Pa)^k2 * (σd/Pa)^k3,85S-15F-20D,-,-,-,"16,46",46253,46066,-,-,-,"0,0345","0,0931",10,1244,109,493,992,"114,6",-,"148,6","0,0148",Base de pavimentos flexíveis,Cura: 28 dias
10.1061/(ASCE)MT.1943-5533.0001627,EAF,Índia,Triturado e Pó,Mr/Pa = k1 * (σ3/Pa)^k2 * (σd/Pa)^k3,80S-20F-15D,-,-,-,46285,46192,46277,-,-,-,"0,0345","0,0931",10,-,-,-,992,"113,2",-,135,"0,0135",Base de pavimentos flexíveis,Categorizada como SW; Cura: 28 d
10.1061/(ASCE)MT.1943-5533.0001628,EAF,Índia,Triturado e Pó,Mr/Pa = k1 * (σ3/Pa)^k2 * (σd/Pa)^k3,75S-25F-0D,-,-,-,"24,25",46162,46064,-,-,-,"0,0345","0,0931",10,-,-,-,-,72,-,910,"0,091",Base de pavimentos flexíveis,Baseline (0% Dolime)
10.1061/(ASCE)MT.1943-5533.0001629,EAF,Índia,Triturado e Pó,Mr/Pa = k1 * (σ3/Pa)^k2 * (σd/Pa)^k3,75S-25F-5D,-,-,-,"24,14",46253,12,-,-,-,"0,0345","0,0931",10,1106,98,442,992,"104,8",-,"235,8","0,0235",Base de pavimentos flexíveis,Cura: 28 dias
10.1061/(ASCE)MT.1943-5533.0001630,EAF,Índia,Triturado e Pó,Mr/Pa = k1 * (σ3/Pa)^k2 * (σd/Pa)^k3,75S-25F-10D,-,-,-,46166,46161,46246,-,-,-,"0,0345","0,0931",10,1211,113,454,992,"108,2",-,"179,2","0,0179",Base de pavimentos flexíveis,Cura: 28 dias
10.1061/(ASCE)MT.1943-5533.0001631,EAF,Índia,Triturado e Pó,Mr/Pa = k1 * (σ3/Pa)^k2 * (σd/Pa)^k3,75S-25F-15D,-,-,-,"23,96",46100,46155,-,"< 0,5%",-,"0,0345","0,0931",10,1299,102,454,992,"113,5",-,"127,5","0,0127",Base de pavimentos flexíveis,Mistura Ótima; Cura: 28 dias
10.1061/(ASCE)MT.1943-5533.0001632,EAF,Índia,Triturado e Pó,Mr/Pa = k1 * (σ3/Pa)^k2 * (σd/Pa)^k3,75S-25F-20D,-,-,-,"23,88",19,46067,-,-,-,"0,0345","0,0931",10,1359,97,445,992,"115,2",-,"64,6","0,0064",Base de pavimentos flexíveis,Cura: 28 dias
10.1061/(ASCE)MT.1943-5533.0001633,EAF,Índia,Triturado e Pó,Mr/Pa = k1 * (σ3/Pa)^k2 * (σd/Pa)^k3,65S-35F-5D,-,-,-,"32,62",46071,46155,-,-,-,"0,0345","0,0931",10,602,79,400,992,"54,1",-,"804,4","0,0804",Base de pavimentos flexíveis,Cura: 28 dias
10.1061/(ASCE)MT.1943-5533.0001634,EAF,Índia,Triturado e Pó,Mr/Pa = k1 * (σ3/Pa)^k2 * (σd/Pa)^k3,65S-35F-10D,-,-,-,"32,14",46251,46126,-,-,-,"0,0345","0,0931",10,912,86,416,992,"80,4",-,"710,7","0,071",Base de pavimentos flexíveis,Cura: 28 dias
10.1061/(ASCE)MT.1943-5533.0001635,EAF,Índia,Triturado e Pó,Mr/Pa = k1 * (σ3/Pa)^k2 * (σd/Pa)^k3,65S-35F-15D,-,-,-,"31,7",46129,46068,-,-,-,"0,0345","0,0931",10,1014,87,427,992,"90,2",-,528,"0,0528",Base de pavimentos flexíveis,Cura: 28 dias
10.1061/(ASCE)MT.1943-5533.0001636,EAF,Índia,Triturado e Pó,Mr/Pa = k1 * (σ3/Pa)^k2 * (σd/Pa)^k3,65S-35F-20D,-,-,-,"31,29",17,16,-,-,-,"0,0345","0,0931",10,1090,84,387,992,"98,4",-,"480,7","0,048",Base de pavimentos flexíveis,Cura: 28 dias
10.1061/(ASCE)MT.1943-5533.0001637,EAF,Índia,Triturado e Pó,Mr/Pa = k1 * (σ3/Pa)^k2 * (σd/Pa)^k3,75S-25F-15D (0d),-,-,-,"23,96",46100,46155,-,-,-,"0,0345","0,0931",10,1048,110,507,992,"75,2",-,"815,1","0,0815",Base de pavimentos flexíveis,Cura: 0 dias
10.1061/(ASCE)MT.1943-5533.0001638,EAF,Índia,Triturado e Pó,Mr/Pa = k1 * (σ3/Pa)^k2 * (σd/Pa)^k3,75S-25F-15D (7d),-,-,-,"23,96",46100,46155,-,"< 0,5%",-,"0,0345","0,0931",10,1166,111,479,992,"90,1",-,"450,3","0,045",Base de pavimentos flexíveis,Cura: 7 dias
10.1061/(ASCE)MT.1943-5533.0001639,EAF,Índia,Triturado e Pó,Mr/Pa = k1 * (σ3/Pa)^k2 * (σd/Pa)^k3,75S-25F-15D (14d),-,-,-,"23,96",46100,46155,-,-,-,"0,0345","0,0931",10,1242,105,472,992,"102,4",-,"257,3","0,0257",Base de pavimentos flexíveis,Cura: 14 dias
10.1007/s40996-025-01765-x,EAF,Índia,Triturado,-,Mix-SR,-,-,-,-,"3,12","1,86",-,-,-,,,10 Hz,-,-,-,-,3160,-,-,-,Revestimento,"OBC: 5,78%; Estabilidade: 19,12 kN; Ligante PG 76-XX"
10.1007/s40996-025-01765-x,EAF,Índia,Triturado,-,Mix-SN,-,-,-,-,"3,12","1,86",-,-,-,,,10 Hz,-,-,-,-,2984,-,-,-,Revestimento,"OBC: 5,66%; Estabilidade: 17,37 kN; Ligante PG 76-XX"
10.1007/s40996-025-01765-x,EAF,Índia,Triturado,-,Mix-C,-,-,-,-,"2,87","0,54",-,-,-,,,10 Hz,-,-,-,-,2850,-,-,-,Revestimento,"OBC: 5,53%; Estabilidade: 15,88 kN; Ligante PG 76-XX"
10.1007/s40996-025-01765-x,RCD,Índia,Triturado,-,Mix-D,-,-,-,-,"2,87","0,54",-,-,-,,,10 Hz,-,-,-,-,2710,-,-,-,Revestimento,"OBC: 5,55%; Estabilidade: 14,27 kN; Ligante PG 76-XX"
10.1007/s40996-025-01765-x,RCD,Índia,Triturado,-,Mix-RS,-,-,-,-,"2,64","1,65",-,-,-,,,10 Hz,-,-,-,-,2425,-,-,-,Revestimento,"OBC: 5,82%; Estabilidade: 11,64 kN; Ligante PG 76-XX"
10.1007/s40996-025-01765-x,RCD,Índia,Triturado,-,Mix-RN,-,-,-,-,"2,64","1,65",-,-,-,,,10 Hz,-,-,-,-,2210,-,-,-,Revestimento,"OBC: 5,74%; Estabilidade: 10,75 kN; Ligante PG 76-XX"
10.1007/s40996-025-01765-x,NATURAL,Índia,Triturado,-,Mix-N,-,-,-,-,"2,87","0,54",-,-,-,,,10 Hz,-,-,-,-,2615,-,-,-,Revestimento,"OBC: 5,48%; Estabilidade: 12,26 kN; Controle (NA)"
10.3390/su162310211,IMW,Brasil,Subproduto de flotação de minério de ferro,Modelo Composto (RM = k1 * σ3^k2 * σd^k3),PRS (Baixa),"40,4",NP,NP,~35%,"16,61","20,5",-,"6,1",A-7-6,"0,02","0,02",3300,"24,69","0,185","-0,763","0,97",230,-,-,-,Não recomendado,Expansividade crítica por anidrita e haloísita 10Å.
10.3390/su162310212,IMW,Brasil,Subproduto de flotação de minério de ferro,Modelo Composto (RM = k1 * σ3^k2 * σd^k3),PRS (Média),"40,4",NP,NP,~35%,"16,61","20,5",-,"6,1",A-7-6,"0,07","0,14",3300,"24,69","0,185","-0,763","0,97",50,-,-,-,Não recomendado,Solo residual filítico; baixa rigidez sob tráfego.
10.3390/su162310213,IMW,Brasil,Subproduto de flotação de minério de ferro,Modelo Composto (RM = k1 * σ3^k2 * σd^k3),PRS (Alta),"40,4",NP,NP,~35%,"16,61","20,5",-,"6,1",A-7-6,"0,105","0,275",3300,"24,69","0,185","-0,763","0,97",46,-,-,-,Não recomendado,Módulo resiliente medido a 275 kPa (tensão máxima).
10.3390/su162310214,IMW,Brasil,Subproduto de flotação de minério de ferro,Modelo Composto (RM = k1 * σ3^k2 * σd^k3),PRS80/IMW20 (Baixa),NL,NP,NP,~32%,"17,34","19,2",-,"3,9",A-4,"0,02","0,02",3300,"59,34","0,306","-0,716","0,939",290,-,-,-,Reforço de subleito,Redução de expansão inicial via adição de IMW.
10.3390/su162310215,IMW,Brasil,Subproduto de flotação de minério de ferro,Modelo Composto (RM = k1 * σ3^k2 * σd^k3),PRS80/IMW20 (Média),NL,NP,NP,~32%,"17,34","19,2",-,"3,9",A-4,"0,07","0,14",3300,"59,34","0,306","-0,716","0,939",82,-,-,-,Reforço de subleito,Sensibilidade à tensão de confinamento aumentada.
10.3390/su162310216,IMW,Brasil,Subproduto de flotação de minério de ferro,Modelo Composto (RM = k1 * σ3^k2 * σd^k3),PRS80/IMW20 (Alta),NL,NP,NP,~32%,"17,34","19,2",-,"3,9",A-4,"0,14","0,42",3300,"59,34","0,306","-0,716","0,939",61,-,-,-,Reforço de subleito,Comportamento siltoso (AASHTO A-4).
10.3390/su162310217,IMW,Brasil,Subproduto de flotação de minério de ferro,Modelo Composto (RM = k1 * σ3^k2 * σd^k3),PRS60/IMW40 (Baixa),NL,NP,NP,~30%,"18,39","14,7",-,"2,4",A-4,"0,02","0,02",3300,"63,95","0,214","-0,567","0,756",250,-,-,-,Sub-base / Reforço,Melhor densificação estrutural com 40% de IMW.
10.3390/su162310218,IMW,Brasil,Subproduto de flotação de minério de ferro,Modelo Composto (RM = k1 * σ3^k2 * σd^k3),PRS60/IMW40 (Média),NL,NP,NP,~30%,"18,39","14,7",-,"2,4",A-4,"0,07","0,14",3300,"63,95","0,214","-0,567","0,756",88,-,-,-,Sub-base / Reforço,Estabilidade granulométrica superior ao PRS puro.
10.3390/su162310219,IMW,Brasil,Subproduto de flotação de minério de ferro,Modelo Composto (RM = k1 * σ3^k2 * σd^k3),PRS60/IMW40 (Alta),NL,NP,NP,~30%,"18,39","14,7",-,"2,4",A-4,"0,14","0,42",3300,"63,95","0,214","-0,567","0,756",69,-,-,-,Sub-base / Reforço,Incremento de K1 reflete ganho de rigidez inicial.
10.3390/su162310220,IMW,Brasil,Subproduto de flotação de minério de ferro,Modelo Composto (RM = k1 * σ3^k2 * σd^k3),PRS50/IMW50 (Baixa),NL,NP,NP,~28%,"18,93","14,2",-,1,A-4,"0,02","0,02",3300,"94,36","0,259","-0,557","0,734",298,-,-,-,Reforço de subleito / Sub-base,Redução da expansão para 1% (limite normativo).
10.3390/su162310221,IMW,Brasil,Subproduto de flotação de minério de ferro,Modelo Composto (RM = k1 * σ3^k2 * σd^k3),PRS50/IMW50 (Média),NL,NP,NP,~28%,"18,93","14,2",-,1,A-4,"0,07","0,14",3300,"94,36","0,259","-0,557","0,734",115,-,-,-,Reforço de subleito / Sub-base,Ganho de 130% no RM em tensões médias vs PRS.
10.3390/su162310222,IMW,Brasil,Subproduto de flotação de minério de ferro,Modelo Composto (RM = k1 * σ3^k2 * σd^k3),PRS50/IMW50 (Alta),NL,NP,NP,~28%,"18,93","14,2",-,1,A-4,"0,14","0,42",3300,"94,36","0,259","-0,557","0,734",92,-,-,-,Reforço de subleito / Sub-base,Mistura ideal para estabilização de solos filíticos.
10.3390/su162310223,IMW,Brasil,Subproduto de flotação de minério de ferro,Modelo Composto (RM = k1 * σ3^k2 * σd^k3),LCS (Baixa),"43,2","29,2",14,~50%,"19,26","16,1",-,0,A-7-6,"0,02","0,02",3300,"237,5","-0,006","-0,428","0,916",1270,-,-,-,Camadas superiores,Comportamento laterítico (LA'); cimentação natural.
10.3390/su162310224,IMW,Brasil,Subproduto de flotação de minério de ferro,Modelo Composto (RM = k1 * σ3^k2 * σd^k3),LCS (Média),"43,2","29,2",14,~50%,"19,26","16,1",-,0,A-7-6,"0,07","0,14",3300,"237,5","-0,006","-0,428","0,916",464,-,-,-,Camadas superiores,Estabilidade via caulinita e óxidos de Fe/Al.
10.3390/su162310225,IMW,Brasil,Subproduto de flotação de minério de ferro,Modelo Composto (RM = k1 * σ3^k2 * σd^k3),LCS (Alta),"43,2","29,2",14,~50%,"19,26","16,1",-,0,A-7-6,"0,14","0,42",3300,"237,5","-0,006","-0,428","0,916",351,-,-,-,Camadas superiores,Solo argiloso laterítico com alta rigidez intrínseca.
10.3390/su162310226,IMW,Brasil,Subproduto de flotação de minério de ferro,Modelo Composto (RM = k1 * σ3^k2 * σd^k3),LCS80/IMW20 (Baixa),"35,3","25,8","9,5",~45%,"19,72","13,4",-,0,A-4,"0,02","0,02",3300,"340,36","0,104","-0,362","0,899",922,-,-,-,Base / Sub-base,Manutenção da rigidez com ganho ambiental.
10.3390/su162310227,IMW,Brasil,Subproduto de flotação de minério de ferro,Modelo Composto (RM = k1 * σ3^k2 * σd^k3),LCS80/IMW20 (Média),"35,3","25,8","9,5",~45%,"19,72","13,4",-,0,A-4,"0,07","0,14",3300,"340,36","0,104","-0,362","0,899",455,-,-,-,Base / Sub-base,K2 positivo indica maior dependência do confinamento.
10.3390/su162310228,IMW,Brasil,Subproduto de flotação de minério de ferro,Modelo Composto (RM = k1 * σ3^k2 * σd^k3),LCS80/IMW20 (Alta),"35,3","25,8","9,5",~45%,"19,72","13,4",-,0,A-4,"0,14","0,42",3300,"340,36","0,104","-0,362","0,899",382,-,-,-,Base / Sub-base,Ótimo desempenho mecânico para bases granulares.
