DOI / Referência,Tipo de Resíduo,Origem / País,"Processamento (triturado, moído, fibra etc,)",Equação de Resilient Modulus,ID da Amostra,LL (%),PL (%),IP (%),Finos (%), MDD (kN/m³),OMC (%),CBR (%),Expansão (%),AASHTO,Tensão de Confinamento (mPa),Tensão Desviadora (mPa),Número de Ciclos de Carga,K1,K2,K3,R²,MR (mPa),Deformação Permanente (μℰ),Deformação Permanente Final (μℰ),DP (%),"Aplicação sugerida (subleito, sub-base, base)",Observações
"10,1080/10298436,2021,1916827",RCD,Turquia,Triturado,-,102 RCA2,"29,68",NP,NP,-,-,-,"129,42",-,A-1-a,,,-,-,-,-,-,208,-,-,-,-,
"10,1080/10298436,2021,1916828",RCD,Turquia,Triturado,-,100 RCA3,"30,72",NP,NP,-,-,-,114,-,A-1-a,,,-,-,-,-,-,107,-,-,-,-,
"10,1080/10298436,2021,1916829",RCD,Turquia,Triturado,-,101 RCA3,"30,72",NP,NP,-,-,-,114,-,A-1-a,,,-,-,-,-,-,140,-,-,-,-,
"10,1080/10298436,2021,1916830",RCD,Turquia,Triturado,-,102 RCA3,"30,72",NP,NP,-,-,-,114,-,A-1-a,,,-,-,-,-,-,208,-,-,-,-,
"10,1080/10298436,2021,1916831",RCD,Turquia,Triturado,-,75NA 25RCA1,"29,7",NP,NP,-,-,-,"85,67",-,Misto,,,-,-,-,-,-,-,-,-,-,-,
"10,1080/10298436,2021,1916832",RCD,Turquia,Triturado,-,75NA 25RCA2,"28,86",NP,NP,-,-,-,"68,45",-,Misto,,,-,-,-,-,-,-,-,-,-,-,
"10,1080/10298436,2021,1916833",RCD,Turquia,Triturado,-,75NA 25RCA3,"28,38",NP,NP,-,-,-,"62,33",-,Misto,,,-,-,-,-,-,-,-,-,-,-,
"10,1080/10298436,2021,1916834",RCD,Turquia,Triturado,-,50NA 50RCA1,"28,08",NP,NP,-,-,-,"55,45",-,Misto,,,-,-,-,-,-,107,-,-,-,-,
"10,1080/10298436,2021,1916835",RCD,Turquia,Triturado,-,50NA 50RCA2,"28,08",NP,NP,-,-,-,"55,45",-,Misto,,,-,-,-,-,-,140,-,-,-,-,
"10,1080/10298436,2021,1916836",RCD,Turquia,Triturado,-,50NA 50RCA3,"28,08",NP,NP,-,-,-,"55,45",-,Misto,,,-,-,-,-,-,208,-,-,-,-,
